Date,Time,COOK AND PHILLIP AQI hourly AQI [index]
16/12/2019,7:00,116
16/12/2019,8:00,117
16/12/2019,9:00,117
16/12/2019,10:00,126
16/12/2019,11:00,84
16/12/2019,12:00,87
16/12/2019,13:00,84
16/12/2019,14:00,81
16/12/2019,15:00,82
16/12/2019,16:00,82
16/12/2019,17:00,78
16/12/2019,18:00,79
16/12/2019,19:00,77
16/12/2019,20:00,76
16/12/2019,21:00,74
16/12/2019,22:00,117
16/12/2019,23:00,104
16/12/2019,24:00:00,101
17/12/2019,1:00,96
17/12/2019,2:00,89
17/12/2019,3:00,72
17/12/2019,4:00,64
17/12/2019,5:00,58
17/12/2019,6:00,53
17/12/2019,7:00,50
17/12/2019,8:00,46
17/12/2019,9:00,46
17/12/2019,10:00,39
17/12/2019,11:00,39
17/12/2019,12:00,31
17/12/2019,13:00,31
17/12/2019,14:00,32
17/12/2019,15:00,30
17/12/2019,16:00,30
17/12/2019,17:00,32
17/12/2019,18:00,31
17/12/2019,19:00,31
17/12/2019,20:00,28
17/12/2019,21:00,28
17/12/2019,22:00,28
17/12/2019,23:00,27
17/12/2019,24:00:00,27
18/12/2019,1:00,27
18/12/2019,2:00,27
18/12/2019,3:00,27
18/12/2019,4:00,27
18/12/2019,5:00,26
18/12/2019,6:00,26
18/12/2019,7:00,26
18/12/2019,8:00,25
18/12/2019,9:00,24
18/12/2019,10:00,26
18/12/2019,11:00,26
18/12/2019,12:00,37
18/12/2019,13:00,68
18/12/2019,14:00,33
18/12/2019,15:00,34
18/12/2019,16:00,35
18/12/2019,17:00,35
18/12/2019,18:00,37
18/12/2019,19:00,38
18/12/2019,20:00,39
18/12/2019,21:00,42
18/12/2019,22:00,43
18/12/2019,23:00,44
18/12/2019,24:00:00,45
19/12/2019,1:00,46
19/12/2019,2:00,48
19/12/2019,3:00,50
19/12/2019,4:00,51
19/12/2019,5:00,52
19/12/2019,6:00,59
19/12/2019,7:00,74
19/12/2019,8:00,151
19/12/2019,9:00,319
19/12/2019,10:00,409
19/12/2019,11:00,400
19/12/2019,12:00,416
19/12/2019,13:00,442
19/12/2019,14:00,394
19/12/2019,15:00,380
19/12/2019,16:00,266
19/12/2019,17:00,274
19/12/2019,18:00,276
19/12/2019,19:00,278
19/12/2019,20:00,282
19/12/2019,21:00,280
19/12/2019,22:00,280
19/12/2019,23:00,280
19/12/2019,24:00:00,281
20/12/2019,1:00,282
20/12/2019,2:00,282
20/12/2019,3:00,283
20/12/2019,4:00,283
20/12/2019,5:00,285
